Form Number,Form Title,Form URL
DOH-2168,Certificate of Dissolution,https://nycourts.gov/forms/certificate-dissolution?topic=611&wrapped=true
DRL 255,Addendum,https://nycourts.gov/forms/addendum?topic=611&wrapped=true
LDSS 5258,Child Support Enrollment Form,https://nycourts.gov/forms/child-support-enrollment-form?topic=611&wrapped=true
LDSS-5037,IWO Child Support or Combined Child and Spousal Support,https://nycourts.gov/forms/iwo-child-support-or-combined-child-and-spousal-support?topic=611&wrapped=true
LDSS-5038,IWO Spousal Support Only Income Withholding Order,https://nycourts.gov/forms/iwo-spousal-support-only-income-withholding-order?topic=611&wrapped=true
LDSS-5039,IWO Numbered Instructions,https://nycourts.gov/forms/iwo-numbered-instructions?topic=611&wrapped=true
SC-1,Temporary Order of Protection (Supreme Court),https://nycourts.gov/forms/temporary-order-protection-supreme-court?topic=611&wrapped=true
SC-2,Order of Protection (Supreme Court),https://nycourts.gov/forms/order-protection-supreme-court?topic=611&wrapped=true
SC-3,Firearms Seizure Order (Supreme Court),https://nycourts.gov/forms/firearms-seizure-order-supreme-court?topic=611&wrapped=true
UCS-111,Child Support Summary Form,https://nycourts.gov/forms/child-support-summary-form?topic=611&wrapped=true
UCS-840M,Addendum for the RJI,https://nycourts.gov/forms/addendum-rji?topic=611&wrapped=true
UCS-FW3,"Affirmation of Service of Proposed Order to Waive Court Costs, Fees and Expenses",https://nycourts.gov/forms/affirmation-service-proposed-order-waive-court-costs-fees-and-expenses?topic=611&wrapped=true
UCS-FWO1,"Order to Waive Court Costs, Fees and Expenses",https://nycourts.gov/forms/order-waive-court-costs-fees-and-expenses?topic=611&wrapped=true
UD-1,Summons with Notice,https://nycourts.gov/forms/summons-notice?topic=611&wrapped=true
UD-1a,Summons,https://nycourts.gov/forms/summons?topic=611&wrapped=true
UD-2,Verified Complaint,https://nycourts.gov/forms/verified-complaint?topic=611&wrapped=true
UD-3,Affirmation of Service,https://nycourts.gov/forms/affirmation-service?topic=611&wrapped=true
UD-4 and UD-4a,Sworn Statement of Removal of Barriers to Remarriage,https://nycourts.gov/forms/sworn-statement-removal-barriers-remarriage?topic=611&wrapped=true
UD-5,Affirmation (Affidavit) of Regularity,https://nycourts.gov/forms/affirmation-affidavit-regularity?topic=611&wrapped=true
UD-6,Sworn Affirmation of Plaintiff,https://nycourts.gov/forms/sworn-affirmation-plaintiff?topic=611&wrapped=true
UD-7,Affirmation of Defendant,https://nycourts.gov/forms/affirmation-defendant?topic=611&wrapped=true
UD-8(1),Annual Income Worksheet,https://nycourts.gov/forms/annual-income-worksheet?topic=611&wrapped=true
UD-8(2),Maintenance Guidelines Worksheet,https://nycourts.gov/forms/maintenance-guidelines-worksheet?topic=611&wrapped=true
UD-8(3),Child Support Worksheet,https://nycourts.gov/forms/child-support-worksheet?topic=611&wrapped=true
UD-8a,Support Collection Unit Information Sheet,https://nycourts.gov/forms/support-collection-unit-information-sheet?topic=611&wrapped=true
UD-8b,Qualified Medical Child Support Order,https://nycourts.gov/forms/qualified-medical-child-support-order?topic=611&wrapped=true
UD-9,Note of Issue,https://nycourts.gov/forms/note-issue?topic=611&wrapped=true
UD-10,Findings of Fact/Conclusions of Law,https://nycourts.gov/forms/findings-factconclusions-law?topic=611&wrapped=true
UD-11,Judgment of Divorce,https://nycourts.gov/forms/judgment-divorce?topic=611&wrapped=true
UD-12,Part 130 Certification,https://nycourts.gov/forms/part-130-certification?topic=611&wrapped=true
UD-13,Request for Judicial Intervention,https://nycourts.gov/forms/request-judicial-intervention?topic=611&wrapped=true
UD-14,Notice of Entry,https://nycourts.gov/forms/notice-entry?topic=611&wrapped=true
UD-15,Affirmation of Service by Mail of JOD,https://nycourts.gov/forms/affirmation-service-mail-jod?topic=611&wrapped=true
,"Affirmation in Support of Application to Waive Court Costs, Fees and Expenses",https://nycourts.gov/forms/affirmation-support-application-waive-court-costs-fees-and-expenses?topic=611&wrapped=true
,Composite Uncontested Divorce Forms,https://nycourts.gov/forms/composite-uncontested-divorce-forms?topic=611&wrapped=true
,Net Worth Statement,https://nycourts.gov/forms/net-worth-statement?topic=611&wrapped=true
,Notice Concerning Continuation of Health Care Coverage,https://nycourts.gov/forms/notice-concerning-continuation-health-care-coverage?topic=611&wrapped=true
,Notice Of Automatic Orders,https://nycourts.gov/forms/notice-automatic-orders?topic=611&wrapped=true
,Notice of Guideline Maintenance,https://nycourts.gov/forms/notice-guideline-maintenance?topic=611&wrapped=true
,Notice of Settlement,https://nycourts.gov/forms/notice-settlement?topic=611&wrapped=true
,NYS Case Registry Filing Form for use with Non-IV-D orders,https://nycourts.gov/forms/nys-case-registry-filing-form-use-non-iv-d-orders?topic=611&wrapped=true
,Postcard Sample,https://nycourts.gov/forms/postcard-sample?topic=611&wrapped=true
,Preliminary Conference Order,https://nycourts.gov/forms/preliminary-conference-order?topic=611&wrapped=true
,Short Form Application for Child Support Services,https://nycourts.gov/forms/short-form-application-child-support-services?topic=611&wrapped=true
