Original Form Number,Original Form Title,Form URL,Extracted Form Number,Case Type,Legal Action,Original PDF URLs,Resolved PDF URLs,PDF Filenames
1-Ca,Affirmation (Change of circumstance since certification as qualified adoptive parents) (Private Placement),https://www.nycourts.gov/forms/affirmation-change-circumstance-certification-qualified-adoptive-parents-private-placement?topic=611&wrapped=true,1-Ca,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17091|https://www.nycourts.gov/media/17096,https://webfiles.nycourts.gov/public/2026-01/adop-1ca.pdf|https://webfiles.nycourts.gov/public/2026-01/adop-1ca.docx,adop-1ca.pdf|adop-1ca.docx
1-D,Child's Medical History,https://www.nycourts.gov/forms/childs-medical-history,1-D,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17101|https://www.nycourts.gov/media/17106,https://webfiles.nycourts.gov/public/2026-01/adop1-d.pdf|https://webfiles.nycourts.gov/public/2026-01/adop1-d.WPD,adop1-d.pdf|adop1-d.WPD
1-E,Affirmation Regarding Venue,https://www.nycourts.gov/forms/affirmation-regarding-venue,1-E,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17111|https://www.nycourts.gov/media/17116,https://webfiles.nycourts.gov/public/2026-01/adop1-e.pdf|https://webfiles.nycourts.gov/public/2026-01/adop1-e.docx,adop1-e.pdf|adop1-e.docx
1-F,Determination of Family Court Judge Regarding Venue,https://www.nycourts.gov/forms/determination-family-court-judge-regarding-venue,1-F,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17121|https://www.nycourts.gov/media/17126|https://www.nycourts.gov/media/17131,https://webfiles.nycourts.gov/public/2026-01/adop1-f.pdf|https://webfiles.nycourts.gov/public/2026-01/adop1-f.doc|https://webfiles.nycourts.gov/public/2026-01/adop1-f.WPD,adop1-f.pdf|adop1-f.doc|adop1-f.WPD
2-A,Agreement of Adoption and Consent (Agency),https://www.nycourts.gov/forms/agreement-adoption-and-consent-agency-0,2-A,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17571|https://www.nycourts.gov/media/17576,https://webfiles.nycourts.gov/public/2026-01/adop2-a.pdf|https://webfiles.nycourts.gov/public/2026-01/adop2-a.WPD,adop2-a.pdf|adop2-a.WPD
2-B,Agreement of Adoption (Private Placement),https://www.nycourts.gov/forms/agreement-adoption-private-placement,2-B,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17581|https://www.nycourts.gov/media/17586,https://webfiles.nycourts.gov/public/2026-01/adop2-b.pdf|https://webfiles.nycourts.gov/public/2026-01/adop2-b.WPD,adop2-b.pdf|adop2-b.WPD
2-C,Consent of Child Over 14 (Agency),https://www.nycourts.gov/forms/consent-child-over-14-agency,2-C,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17591|https://www.nycourts.gov/media/17596,https://webfiles.nycourts.gov/public/2026-01/adop2-c.pdf|https://webfiles.nycourts.gov/public/2026-01/adop2-c.WPD,adop2-c.pdf|adop2-c.WPD
2-D,Consent of Child Over 14 (Private Placement),https://www.nycourts.gov/forms/consent-child-over-14-private-placement,2-D,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17601|https://www.nycourts.gov/media/17606,https://webfiles.nycourts.gov/public/2026-01/adop2-d.pdf|https://webfiles.nycourts.gov/public/2026-01/adop2-d.wpd,adop2-d.pdf|adop2-d.wpd
2-E,Affirmation and Consent of Person Having Lawful Custody (Other than Birth or Legal Parent - Private Placement),https://www.nycourts.gov/forms/affirmation-and-consent-person-having-lawful-custody-other-birth-or-legal-parent-private?topic=611&wrapped=true,2-E,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17611|https://www.nycourts.gov/media/17616,https://webfiles.nycourts.gov/public/2026-04/adop-2-e.pdf|https://webfiles.nycourts.gov/public/2026-01/adop-2-e.docx,adop-2-e.pdf|adop-2-e.docx
2-G,Extra-Judicial Consent (Birth or Legal Parent - Private Placement),https://www.nycourts.gov/forms/extra-judicial-consent-birth-or-legal-parent-private-placement,2-G,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17646|https://www.nycourts.gov/media/17651|https://www.nycourts.gov/media/17656,https://webfiles.nycourts.gov/public/2026-01/adop2-g.pdf|https://webfiles.nycourts.gov/public/2026-01/adop2-g.doc|https://webfiles.nycourts.gov/public/2026-01/adop2-g.WPD,adop2-g.pdf|adop2-g.doc|adop2-g.WPD
2-Ga,Extra-Judicial Consent (Birth or Legal Parent - Private Placement Stepparent),https://www.nycourts.gov/forms/extra-judicial-consent-birth-or-legal-parent-private-placement-stepparent,2-Ga,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17661|https://www.nycourts.gov/media/17666,https://webfiles.nycourts.gov/public/2026-01/adop2-ga.pdf|https://webfiles.nycourts.gov/public/2026-01/adop2-ga.WPD,adop2-ga.pdf|adop2-ga.WPD
3-4,Application - Pre-Petition Detention,https://www.nycourts.gov/forms/application-pre-petition-detention,3-4,"Family Forms, Juvenile Delinquency - Family",,https://www.nycourts.gov/media/15881|https://www.nycourts.gov/media/15886,https://webfiles.nycourts.gov/public/2025-12/3-4.pdf|https://webfiles.nycourts.gov/public/2025-12/3-4.docx,3-4.pdf|3-4.docx
3-17,Examination Report to Determine Capacity,https://www.nycourts.gov/forms/examination-report-determine-capacity,3-17,"Family Forms, Juvenile Delinquency - Family",,https://www.nycourts.gov/media/15936|https://www.nycourts.gov/media/15941,https://webfiles.nycourts.gov/public/2025-12/3-17-1_0.pdf|https://webfiles.nycourts.gov/public/2025-12/3-17-1.docx,3-17-1_0.pdf|3-17-1.docx
3-48,Close to Home - Order on Petition to Modify Placement,https://www.nycourts.gov/forms/close-home-order-petition-modify-placement,3-48,"Family Forms, Juvenile Delinquency - Family",,https://www.nycourts.gov/media/16076|https://www.nycourts.gov/media/16081,https://webfiles.nycourts.gov/public/2025-12/3-48.pdf|https://webfiles.nycourts.gov/public/2025-12/3-48.doc,3-48.pdf|3-48.doc
3-49,Close to Home - Order on Petition to Transfer Placement to NYS OCFS,https://www.nycourts.gov/forms/close-home-order-petition-transfer-placement-nys-ocfs,3-49,"Family Forms, Juvenile Delinquency - Family",,https://www.nycourts.gov/media/16086|https://www.nycourts.gov/media/16091,https://webfiles.nycourts.gov/public/2025-12/3-49.pdf|https://webfiles.nycourts.gov/public/2025-12/3-49.doc,3-49.pdf|3-49.doc
4-3b,Addendum to Support Petition - Request for Child Support (IV-D) Services,https://www.nycourts.gov/forms/addendum-support-petition-request-child-support-iv-d-services?topic=611&wrapped=true,4-3b,"Family Forms, Child Support",,https://www.nycourts.gov/media/14366|https://www.nycourts.gov/media/14371,https://webfiles.nycourts.gov/public/2025-12/4-3b.pdf|https://webfiles.nycourts.gov/public/2025-12/4-3b.doc,4-3b.pdf|4-3b.doc
4-8,Application for Income Execution for Support Enforcement (Clerk of Court),https://www.nycourts.gov/forms/application-income-execution-support-enforcement-clerk-court,4-8,"Family Forms, Child Support",,https://www.nycourts.gov/media/14621|https://www.nycourts.gov/media/14626,https://webfiles.nycourts.gov/public/2025-12/4-8.pdf|https://webfiles.nycourts.gov/public/2025-12/4-8.doc,4-8.pdf|4-8.doc
4-17,Affirmation - Financial Disclosure - Long Form,https://www.nycourts.gov/forms/affirmation-financial-disclosure-long-form?topic=611&wrapped=true,4-17,Family Forms,,https://www.nycourts.gov/media/13506|https://www.nycourts.gov/media/13511,https://webfiles.nycourts.gov/public/2025-12/4-17.pdf|https://webfiles.nycourts.gov/public/2025-12/4-17.docx,4-17.pdf|4-17.docx
4-17,Financial Disclosure Affirmation,https://www.nycourts.gov/forms/financial-disclosure-affirmation,4-17,"Family Forms, Child Support",,https://www.nycourts.gov/media/13506|https://www.nycourts.gov/media/13511,https://webfiles.nycourts.gov/public/2025-12/4-17.pdf|https://webfiles.nycourts.gov/public/2025-12/4-17.docx,4-17.pdf|4-17.docx
4-17a,Affirmation - Financial Disclosure - Short Form,https://www.nycourts.gov/forms/affirmation-financial-disclosure-short-form?topic=611&wrapped=true,4-17a,Family Forms,,https://www.nycourts.gov/media/19596|https://www.nycourts.gov/media/19601,https://webfiles.nycourts.gov/public/2026-01/4-17a.pdf|https://webfiles.nycourts.gov/public/2026-01/4-17a.docx,4-17a.pdf|4-17a.docx
4-17a,Financial Disclosure Affirmation (Short Form),https://www.nycourts.gov/forms/financial-disclosure-affirmation-short-form,4-17a,"Family Forms, Child Support",,https://www.nycourts.gov/media/19596|https://www.nycourts.gov/media/19601,https://webfiles.nycourts.gov/public/2026-01/4-17a.pdf|https://webfiles.nycourts.gov/public/2026-01/4-17a.docx,4-17a.pdf|4-17a.docx
4-20a,Affirmation in Support of Motion to Vacate Adjusted Order of Support,https://www.nycourts.gov/forms/affirmation-support-motion-vacate-adjusted-order-support?topic=611&wrapped=true,4-20a,"Family Forms, Child Support",,https://www.nycourts.gov/media/13636|https://www.nycourts.gov/media/13646,https://webfiles.nycourts.gov/public/2025-12/4-20a.pdf|https://webfiles.nycourts.gov/public/2025-12/4-20a.docx,4-20a.pdf|4-20a.docx
4-21,Enforcement of Arrears - Order to Licensing Entity,https://www.nycourts.gov/forms/enforcement-arrears-order-licensing-entity,4-21,"Family Forms, Child Support",,https://www.nycourts.gov/media/15236|https://www.nycourts.gov/media/15241,https://webfiles.nycourts.gov/public/2025-12/4-21.pdf|https://webfiles.nycourts.gov/public/2025-12/4-21.doc,4-21.pdf|4-21.doc
4-22a,Enforcement of Arrearages - Determination of Objections,https://www.nycourts.gov/forms/enforcement-arrearages-determination-objections,4-22a,"Family Forms, Child Support",,https://www.nycourts.gov/media/17871|https://www.nycourts.gov/media/17876,https://webfiles.nycourts.gov/public/2026-01/4-22a.pdf|https://webfiles.nycourts.gov/public/2026-01/4-22a.doc,4-22a.pdf|4-22a.doc
